name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
Narragansett Bay Water Mitigation Program,4142-SF,8/24/2012,"U. S. States of MA, NJ, NY, RI",R,No,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Phone 401-495-6059 or 800-343-3375,Use Drying Workbook and take readings daily.  Weekend and holiday monitoring must have adjuster approval.
Nationwide Insurance Company/Allied Insurance Company/Nationwide Agribusiness - Commercial Water Mitigation Program,4627-F,11/10/2014,All U.S. States,C,"If directions for deductible is not provided on FNOL, contact the Nationwide/ Allied Claims Handler.","5,000 ",Xactimate Version 28,Use most current price list provided by Xactimate for your area.,"Assigned Adjuster.  If not available, call 1-800-421-3535.","SNAPA Acct.  Use Nationwide Forms: ATP and Satisfaction of Repair. Notify adjuster of losses that may exceed $7,500, damage that appears to be exceptional or attributed to deterioration or wear and tear, suspicious activities, facts, or findings. Obtain sample if more th an 144 sq. ft. of flooring is damaged beyond repair. Requires Initial Upload.  See bulletin for additional information."
Nationwide Insurance Company/Allied Insurance Company - Residential Water Mitigation Program,3557-F-2,11/10/2014,All U. S. States,R,"If directions for deductible is not provided on FNOL, contact the Nationwide/ Allied Claims Handler.","1,500 ",Xactimate Version 28,Use most current price list provided by Xactimate for your area.,"Assigned Adjuster.  If not available, call 1-800-421-3535.","SNAPA Acct.  Use Nationwide Forms: ATP and Satisfaction of Repair. Immediately report any pre-existing damage to Claims Handler. If more than 144 sq. ft. of flooring is unrepairable, obtain sample and notify Claims Handler. Do not dispose of any items that Claims Handler has deemed salvageable. Assist with moving and storage of salvageable items from loss location to an off-site location.  Initial Upload required.  See bulletin for additional information."
New England Ins. Co. and New England Reinsurance Corp. - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
New London County Mutual,4141-SF,8/24/2012,"U. S. States of CT, ME, MA, NH, RI",R & C,No," R = 2,500 ESL;       C = 10,000 NTE; for Commercial, do not exceed the NTE without adjuster approval. ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Larry Lentine, 860-887-3553 x 4346","Use Drying Workbook. Take readings daily.  Obtain adjuster approval to monitor on holidays and weekends. Do not use ITEL or any other vendor without approval of New London County Insurance Adjuster. Additional conditions to notify adjuster: 1) if packout will exceed $2,000; 2) prior to any demolition."
North Carolina Farm Bureau,3393-SF,9/12/2008,U. S. Franchises in NC,R,Yes,"2,500 ",ScanER,Use local pricing for your area.,"Contact the local adjuster, If unknown, call NC Farm Bureau 919-782-1705.",
Northern Insurance Co. of New York (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Nova Casualty (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Nutmeg Insurance Co. - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Ohio Casualty,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-866-255-5530,SNAPA Acct.  Refer to bulletin
Ohio Casualty,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-866-255-5530,SNAPA Acct.  Refer to bulletin
Ohio Farmers (affiliate of Westfield Insurance Company),4064-SF,4/3/2012,"U. S. Franchises in AZ, CO, DE, FL, GA, IL, IN, IA, KY, MD, MI, MN, NM, NC, OH, PA, SC, TN, VA, WV, WI",R & C,Contact the Adjuster whether to collect the deductible.," R  $2,500                            C  $5,000  ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use price list attached to bulletin.","Westfield Insurance Customer Care Center: Phone 866-937-2663, Corry Novosel: Phone 724-776-7200",SNAPA Acct.  Contact adjuster immediately and obtain direction on how to proceed if content cleaning or packout is involved (not included in this program). Water mitigation performed solely in conjunction with fire/smoke job should be included in fire/smoke estimate.  Use DRYING WORKBOOK.
Ohio Mutual,4488-SF,1/24/2014,"CT, IN, ME, NH, OH, RI, VT",R & C,yes,"2,500 ",Xactimate,Current price list,"1-800-686-3011, Option 6",
Old Guard Insurance (Affiliate of Westfield Insurance Company),4064-SF,4/3/2012,"U. S. Franchises in AZ, CO, DE, FL, GA, IL, IN, IA, KY, MD, MI, MN, NM, NC, OH, PA, SC, TN, VA, WV, WI",R & C,Contact the Adjuster whether to collect the deductible.," R  $2,500                            C  $5,000  ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use price list attached to bulletin.","Westfield Insurance Customer Care Center: Phone 866-937-2663, Corry Novosel: Phone 724-776-7200",SNAPA Acct.  Contact adjuster immediately and obtain direction on how to proceed if content cleaning or packout is involved (not included in this program). Water mitigation performed solely in conjunction with fire/smoke job should be included in fire/smoke estimate.  Use DRYING WORKBOOK.
OneBeacon Insurance Group,3390-F,8/22/2008,All U.S. States,R & C,Yes," R  $2,500                              C $5,000 ",ScanER ,Utilize local pricing in your area,"Claire Mullaney,Property Supervisor, 781-332-8640",
Owners Insurance (subsid. of Auto-Owners),5074-SF,10/10/2016,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, KY, MI, MN, MO, NE, NC, ND, OH, PA, SC, SD, TN, UT, VA, WI",R & C,Yes," Res.  $2,500                  Comm. $10,000 ",Xactimate ,Use the most current price list provided by Xactimate for your area.,"1) Contact assigned adjuster.  2) Mon.-Fri.7:30am-9:30pm, Sat.-Sun.8:00am-6:30pm EST Phone 1-800-252-4626","THIS IS A SNAPA ACCOUNT.  Services not included within this agreement, but may be available upon request: structural construction or reconstruction services, asbestos or lead abatement, hazardous cleanup, non-covered losses."
Pacific Insurance Company - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Pacific Select Insurance (affiliated with GeoVera),3970-F,9/15/2011,All U.S. States,R,"Collect deductible on mitigation-only jobs. Jobs that require more than mitigation, GeoVera will apply the deductible elsewhere on the claim.","2,500 ",Xactimate; a separate Xactimate estimate is required for approved mold remediaton services.,Use the most current price list provided by XactimateÒ for your area,"Holly Wolf, Prop. Claims Mgr. for AL, GA, NC, SC, FL, VA;  850-219-5801; after hours 800-785-3085;                                  Pat Power, Claims Mgr. for CA, WA, OR, TX, OK, AR, KS, MO, AZ; 707-863-3748; after hours 800-785-3230

","Contact Adjuster immediately if insured refuses service; attempt to take photos of building and loss. Call after hours when safety or health issue or if cause of loss is differet than initially reported. Contact adjuster if potential salvage exists, packout, contents cleaning, demolition. Use DRYING WORKBOOK."
Pacific Specialty Insurance Company,3646-F,4/2/2010,All U.S. States,R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate,Claim Support Staff at 1-800-962-1172.  After hours and weekends call 650-642-7233.,Itemized inventory of all contents for packout and cleaning affected by loss is required. Take photos of all salvagable and nonsalvagable contents in the affected area. Only drill behind the baseboards.
"Palomar Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Patriot Insurance Company,3631-F,3/3/2010,"U. S. Franchises in ME, NH,  VT",R,"On mitigation only jobs, collect the deductible.","2,500 ",ScanER,Utilize local pricing for your area.,Contact the Handling Adjuster or Chip Mateviere-cmateviere@fmis.com,
Patriot Insurance Company ,#4144-SF,8/24/2012,"U.S. Franchises in ME, NH, VT (Participation is contingent upon approval by Patriot Insurance and SERVPRO's Commercial Large Loss Division.)",C ,No,"10,000 ","Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Paul Metevier, Phone 207-847-1800, paul.metevier@fmins.com, After Hours: 1-866-460-1776",
Patrons Mutual Ins. Co. of CT (affiliate of State Auto),4102-F,5/30/2012,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,
Peak Property & Casualty (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Peerless Insurance,3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-522-7152,SNAPA Acct.  Refer to bulletin
Peerless Insurance,4034-F-2,7/28/2014,All U. S. States,C,"No, unless instructed by adjuster.","5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-522-7152,SNAPA Acct.  Refer to bulletin
Peninsula Insurance Company,3167-SF,12/1/2006,"U.S. Franchises in DE, MD, NH, PA, SC, TN,
VA, and WV",R,Yes ,"2,000 ",ScanER,Utilize local pricing for your area.,Steve Annis - (800)492-1205,
Penn National,4309-SF-2,2/9/2015,"U.S. Franchises in AL, DE, MD, NC, NJ, PA, SC, TN, VA",R & C,"No, unless otherwise instructed by the Adjuster."," R  $3,000
C  $5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"First point of contact will be listed on the FNOL, if not, call 1-800-766-2245.","While on site, report initial scope to the Claims Handler; if not available, contact the Claims Supervisor.  Additional notifications to the adjuster: If contents cleaning or packout is probably, if pre-existing damage; if demoliton."
Pharmacists Mutual,4645-F-2,1/19/2015,All U.S. States,R & C,No.  The deductible will be applied elsewhere on the claim.,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Ivy Kitzinger, phone 800-247-5930",Local jobs must be uploaded utilizing DryBook.
Phenix Mutual (subsidiary of Motorists Mutual),4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
"Pillar Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Pioneer State Mutual - Water/Fire/Smoke Mitigation Program,4489-SF-2,6/27/2014,Michigan,R & C,Water Mit. - Collect Deductible;  Fire/Smoke Deductible - Check with adjuster.," Water $2,500;   Fire $1,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,810-733-2300,"SEE BULLETIN FOR CRITERIA FOR PERFORMING FIRE/SMOKE LOSSES. Upon receipt of job, Franchise must notify Pioneer State Mutual of the Franchise Name and Phone Number that is assigned to the loss."
Preferred Mutual - Water Mitigation,4146-SF,8/24/2012,"U.S. Franchises in MA, NH, NJ, NY",R & C,No," R  $2,500 ESL                  C  $10,000 NTE ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work. Adjuster must be notified that the job will exceed $100,000.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.",Claims Phone: 800-333-7642,"Drying Workbook required. Notify adjuster if packout will exceed $2,000 and prior to any demolition. Obtain adjuster approval for monitoring on weekends, holidays, and after hours. Do not use ITEL or any other vendor without adjuster approval. "
Preferred Mutual Insurance Company - Fire and Smoke,4145-SF,8/24/2012,"U.S. Franchises in MA, NH, NJ, NY - Special selection criteria includes a minimum monthly average of $10,000 in fire and smoke work performed for a rolling 12-month period.",R & C,No,"3,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Phone: 800-333-7642,"Take pictures of cause and origin of fire, if possible. Adjuster approval needed for demolition, dumpsters, pods. Take photos of brica-brac itmes before removing from original location and make inventory list that identifies box number and contents of each box."
Professionals Direct Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Property and Casualty Ins. Co. of Hartford - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Property-Owners Insurance (subsid. of Auto-Owners),5074-SF,10/10/2016,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, KY, MI, MN, MO, NE, NC, ND, OH, PA, SC, SD, TN, UT, VA, WI",R & C,Yes," Res.  $2,500                  Comm. $10,000 ",Xactimate ,Use the most current price list provided by Xactimate for your area.,"1) Contact assigned adjuster.  2) Mon.-Fri.7:30am-9:30pm, Sat.-Sun.8:00am-6:30pm EST Phone 1-800-252-4626","THIS IS A SNAPA ACCOUNT.  Services not included within this agreement, but may be available upon request: structural construction or reconstruction services, asbestos or lead abatement, hazardous cleanup, non-covered losses."
"PURE High Net Worth Insurance (Revision)/PURE Risk Managament, LLC",4369-F,7/19/2013,All U.S. States,R,Do not collect deductible unless otherwise instructed in writing by adjuster.,"2,500 ","At initial inspection, excluding subcontract work, the loss is considered to be:  $100,000 or less, use Xactimate;  over $100,000, use Time and Materials.",Use the most current price list provided by Xactimate or Time and Materials for your area.,"Claims: 1-888-813-PURE;  Frank Digrande, VP Prop. Claims, 914-328-8101, fdigrande@purehnw.com","SNAPA Account.  No emergency svcs to be performed until a signed Auth. To Perform Svcs. Is secured.  Both local and Call Center jobs must be uploaded. Use Drying Workbook. Use in-place drying when appropriate.  If carpet cannot be saved, contact adjuster whether to send to ITEL. Apply antimicrobial when appropriate. Adjuser approval required prior to content cleanign or pack-out. Since Asbestos Abatement and Mold Remediation are not included in this program, contact the adjuster on how to proceed."
Rockford Mutual Insurance,4566-SF,6/13/2014,"U.S. States of IL, IN, WI",R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Claims: 800-747-7642,"Reconstruction services may be provided by the Franchise performing the mitigation if requested by the adjuster or the homeowner.  If the Franchise performing the mitigation work does not choose to perform reconstruction, the Franchise may refer the reconstruction to another SERVPRO Franchise or contact the Trainer for direction."
"Rockingham Insurance, Rockingham Mutual, Rockingham Casualty, Rockingham Mutual Service Agency, Inc.",4227-SF,12/12/2012,U. S. Franchises in PA and VA,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Contact local adjuster
or Claims Assistance
Telephone: 540-434-5904 Toll free: 800-662-5246",
Rocky Mountain Fire & Casualty (affiliated with Grange Ins. Group),3382-SF,8/13/2008,"U. S. Franchises in CA, CO, ID, OR, WA, and WY.",R & C,Yes,"5,000 ",ScanER,Utilize local pricing for your area.,"Western Region (Western WA, OR, CA, CO, and WY) Local: 206-448-4911 Toll-Free: 800-247-2643.   Eastern Region (Eastern WA and ID) Local 509-924-7039,  Toll Free 800-824-2702.  Claims 800-826-3397
",
Safeco Residential Water and Fire/Smoke Mitigation,4043-F-3,10/13/2014,All U.S. States,Residential,"No, unless otherwise directed to do so by a Safeco Mitigation Specialist.",,Xactimate 27.3,27.3,Water Mitigation Unit:                         1-888-873-5475                            Customer Service: 1-800-332-3226,"SNAPA Acct.  Franchise must have voice-to-voice contact with a Safeco Mit. Spec. while on site during initial inspection. If not available, email information to supplied location through a note in the electronic file. Provide Vendor name, contact #, IICRC #, Arrival time, cause, category and class of loss, mold, lead, asbestos exposure, structure and content damages, if packout required, required demolition, extraction method, drying plan, equipment types to be used, any customer discussions.  Use DRYBOOK."
Safeco Residential Water and Fire/Smoke Mitigation,4043-F-5,3/14/2016,All U.S. States,Residential,"No, unless otherwise directed to do so by a Safeco Mitigation Specialist.", Ask Mitigation Specialist ,Xactimate 28,"Franchises must use the price list downloaded with the assignment and apply a 2.5% discount to water, mold and sewage Xactimate pricing for entire claim.  See ServproNET for instructions on how to apply discount.",Water Mitigation Unit:                         1-888-873-5475                            Fire/Smoke Customer Service:       1-800-332-3226,"SNAPA Acct.  Franchise must have voice-to-voice contact with a Safeco Mit. Spec. while on site during initial inspection. If not available, email information to supplied location through a note in the electronic file. Provide Vendor name, contact #, IICRC #, Arrival time, cause, category and class of loss, mold, lead, asbestos exposure, structure and content damages, if packout required, required demolition, extraction method, drying plan, equipment types to be used, any customer discussions.  Use DRYBOOK."
Safety Insurance,3747-F,8/17/2010,All U.S. States,R & C,"Yes, unless otherwise instructed by the assigned adjuster/examiner. If problems w/collecting deductible, call the Safety Representative for assistance.",,,Use the most current price list provided by Xactimate for your area.,"Normal Business Hours: 617-951-0600
After-Hours and Weekends: 866-981-5289","SNAPA Acct.;  Communicate with adjuster for: type and degree of damage, extent of manipulation of contents, amount and type of equipment estimated, any add'l services needed, any special equipment. Apply antimicrobial where appropriate (IICRC). In-place drying for carpet and pad are preferred for clean water. Square footage deduction for all window/door openings. Do not recommend any dry cleaner or contractor to insured. Stress to policyholder the importance of saving the part if possible subrogation. Emergency pre-cleaning for Fire mitigation is limited to cleaning nad coating at-risk surfaces and water extraction."
San Francisco Reinsurance (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
SECURA,3744-SF,8/12/2010,"U.S. Franchises in AZ, CO, IA, IL, IN, KS, KY, MI, MN, MO, ND, PA, WI",R & C,Yes,"2,500 ",ScanER,Utilize local pricing for your area.,"Mike Krabbe, Sr. Claims Representative, 1-800-558-3405. ext/ 4682",
Seguros Multiples,3200-SF,3/2/2007,U.S. Franchises in FL,R,Yes ,"2,500 ","Xactimate
ScanERXL",Utilize local Xactimate pricing for your area.,Call Center: 1-800-758-0101,
Selective Insurance Company,3702-SF,7/23/2010,"U.S. Franchises in CT, DC, DE, GA, IA, IL, IN, KY, MA,
MD, MN, MO, NC, NJ, NY, OH, PA, RI,
SC, TN, VA, WI",R & C,"Yes, if mitigation only.","2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area. Base Service Charges should NOT be applied,"Claims Department
Phone 866-455-9969","If job is referred by a public adjuster, the Franchisee must notify the Selective Ins. adjuster within 2 business hours. Before beginning, Franchise must call the adjuster with job overview, determine coverage, and get authorization. Adjuster approval needed for use of large desiccant dehus, use of portable temporary power, use of dessiccants.  Use DRYING WORKBOOK for Residential; use Monitoring Report for Commercial. Follow IICRC on antimicrobial. Notify adjuster of contents cleaning, packout,textile cleaning. Franchise must be able to do board-up work if necessary."
Sentinel Ins. Co. Ltd. - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Sentry Insurance,4101-F,5/30/2012,All U.S. States,R & C,Yes," R  $2,500
C  $5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Sentry Insurance 800-373-6879                                                       John Todd Claims Senior Technical Specialist, 715-346-9370",
"Service Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Seventh-day Adventist (SDA) Church,4157-F,9/5/2012,All U.S. States,C ,Not applicable," $10,000. If the ESL will exceed $10,000, notify the SDA Church contact person. ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Communicate/coordinate with SDA Church contact person on site at each church-owned location, as well as the assigned adjuster. Any services or monitoring during their period of worship must be coordinated with the church contact person on how to proceed.                Kevin M. Davidson, Senior Claims Examiner, Phone: 301-680-6882, Email: kdavidson@adventistrisk.org","1) No smoking or alcoholic beverages within 1,000 feet of the SDA Church entity building.  2) On-site staff will direct how SERVPRO Franchises should conduct themselves due to the sensitive tradition of the Church. 3) Notify the Church contact person immediately of the schedule on which work is to be performed (church meeting times must be treated with the utmost respect: sundown Friday until Sundown Saturday) Follow IICRC guidelines. Seek prior approval from the Church contact person for on-site storage containers. Move-outs must be approved by the Church contact person or assigned adjuster."
Shelter Insurance Company - Mississippi,3861-SF,3/23/2011,U.S. Franchises in MS,R,Yes ,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Bo Helms or Blaine Adams, Phone: 601-978-6040",Use antimicrobial on all wet surfaces
Shelter Insurance Company - Tennessee,3896-SF,5/18/2011,U.S. Franchises in TN,R,Yes unless otherwise instructed by the adjuster,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"The Assigned Adjuster or if there is no assigned adjuster, call the Claims Office at 1-800-342-5791.",
Shelter Insurance Company - Kentucky and Indiana,4063-SF,4/3/2012,U. S. Franchises in KY and IN,R,"On losses that will require only mitigation, collect the deductible. ","2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,1-800-SHELTER (1-800-743-5837),
South Carolina Farm Bureau,3853-SF,3/7/2011,U. S. Franchises in SC,R,No,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Glenn Hayes - Property & Training Manager, Phone 803-936-4519
Customer Service Call Center, Phone 1-800-799-7500",
Southern Fund (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
Southern Trust Insurance Company,3498-SF,5/11/2009,U.S. Franchises in GA & TN,R & C,"Yes. In cases where deductible cannot be collected, it will be applied elsewhere on the claim.","2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,"Bryan O’Quinn-800-476-5566,   David Hamrick-800-476-5566,   Marla Harris-800-476-5566",
Southern-Owners Insurance (subsid. of Auto-Owners),5074-SF,10/10/2016,"AL, AZ, AR, CO, FL, GA, ID, IL, IN, IA, KS, KY, MI, MN, MO, NE, NC, ND, OH, PA, SC, SD, TN, UT, VA, WI",R & C,Yes," Res.  $2,500                  Comm. $10,000 ",Xactimate ,Use the most current price list provided by Xactimate for your area.,"1) Contact assigned adjuster.  2) Mon.-Fri.7:30am-9:30pm, Sat.-Sun.8:00am-6:30pm EST Phone 1-800-252-4626","THIS IS A SNAPA ACCOUNT.  Services not included within this agreement, but may be available upon request: structural construction or reconstruction services, asbestos or lead abatement, hazardous cleanup, non-covered losses."
Specialty Risk Services - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Standard Guaranty Insurance (subsidiary of Assurant Specialty Property),3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
"StarStone National Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
